user_id,name,username,email_address,date_of_birth,gender,location,membership_start_date,membership_end_date,subscription_plan,payment_information,renewal_status,usage_frequency,purchase_history,favorite_genres,devices_used,engagement_metrics,feedback_ratings,customer_support_interactions
1,Ronald Murphy,Scott Allen,williamholland@example.com,6/3/1953,Male,Rebeccachester,1/15/2024,1/14/2025,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3
2,Scott Allen,Jonathan Parrish,scott22@example.org,7/8/1978,Male,Mcphersonview,1/7/2024,1/6/2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7
3,Jonathan Parrish,Megan Williams,brooke16@example.org,12/6/1994,Female,Youngfort,4/13/2024,4/13/2025,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8
4,Megan Williams,Kathryn Brown,elizabeth31@example.net,12/22/1964,Female,Feliciashire,1/24/2024,1/23/2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7
5,Kathryn Brown,Sandra Cox,pattersonalexandra@example.org,6/4/1961,Male,Port Deborah,2/14/2024,2/13/2025,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1
6,Sandra Cox,Benjamin Marshall,gparks@example.org,9/19/1954,Female,Lake Johnathan,1/15/2024,1/14/2025,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2
7,Benjamin Marshall,James Smith,michaellewis@example.net,2/9/2003,Male,Carlsonchester,4/8/2024,4/8/2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10
8,James Smith,Kayla Hernandez,adrienne49@example.org,10/4/1946,Male,West Matthewborough,2/16/2024,2/15/2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6
10,Kayla Hernandez,Douglas Hampton,jessica53@example.net,6/16/1963,Male,West Stephen,3/10/2024,3/10/2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6
11,Douglas Hampton,Andrew Gomez,tonya16@example.com,11/28/1997,Female,Cynthiaport,3/24/2024,3/24/2025,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4,1
12,Andrew Gomez,Kevin Mayo,brian80@example.org,9/8/1952,Female,Hillberg,3/7/2024,3/7/2025,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6
13,Kevin Mayo,Gregory Thomas,hochoa@example.net,11/18/1981,Female,Michaeltown,1/10/2024,1/9/2025,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0
14,Gregory Thomas,Melanie Burns,egriffin@example.com,8/17/1989,Female,Harrisport,1/7/2024,1/6/2025,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0
15,Melanie Burns,Brittany Crane,meyerstacy@example.net,4/7/2003,Male,East Janetfurt,2/23/2024,2/22/2025,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10
16,Brittany Crane,Robert Gonzalez,jasonbowers@example.org,3/19/1993,Female,Port Jeremyfurt,1/3/2024,1/2/2025,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5,0
17,Robert Gonzalez,Mindy Baxter,cday@example.com,5/2/1952,Female,Quinnberg,3/25/2024,3/25/2025,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3
18,Mindy Baxter,Michael Smith,phumphrey@example.net,11/16/1978,Female,New Brandon,1/23/2024,1/22/2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6
19,Michael Smith,Joseph Owens,paige55@example.org,8/30/1945,Female,South Michaelhaven,1/27/2024,1/26/2025,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6
20,Joseph Owens,Devin Wolf,christopher25@example.org,9/29/1979,Female,Port Derekton,3/15/2024,3/15/2025,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2
21,Devin Wolf,Heidi Brock,jacobrobinson@example.com,7/5/1956,Male,New Matthewbury,3/15/2024,3/15/2025,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6
22,Heidi Brock,Tracy Hardin,karen47@example.org,2/17/1967,Male,Lake Gloriaport,1/15/2024,1/14/2025,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2
23,Tracy Hardin,Maria White,ronald82@example.net,2/13/1996,Female,North Audrey,4/14/2024,4/14/2025,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7
24,Maria White,Eric Johnson,castillokatie@example.com,6/19/1968,Male,West Raymond,3/26/2024,3/26/2025,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0
25,Eric Johnson,Kenneth Jones,lgreer@example.org,10/2/1994,Female,North Jacob,1/18/2024,1/17/2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4
26,Kenneth Jones,Joel Cole,glen97@example.net,9/22/1986,Female,Shafferland,2/12/2024,2/11/2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7
27,Joel Cole,Brittany Noble,nyates@example.com,3/29/2005,Male,West Richardbury,2/19/2024,2/18/2025,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0
28,Brittany Noble,Shelley Lopez,carol56@example.com,11/5/1976,Male,New John,1/26/2024,1/25/2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3,9
29,Shelley Lopez,Stephen Perkins,rodneyroberts@example.com,7/5/1967,Female,North Marymouth,1/7/2024,1/6/2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7
30,Stephen Perkins,Christopher Davis,julie52@example.com,9/16/1976,Female,West James,1/31/2024,1/30/2025,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9
31,Christopher Davis,Rodney Jones,urobinson@example.net,9/19/1955,Male,Randallton,2/25/2024,2/24/2025,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10
32,Rodney Jones,Whitney Underwood,zfrost@example.net,10/14/1967,Female,Port Kimberly,1/3/2024,1/2/2025,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9
34,Whitney Underwood,Cheryl Bradley,ujones@example.com,7/23/2002,Female,New Jenniferport,3/30/2024,3/30/2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10
35,Cheryl Bradley,Carrie Smith,jesseforbes@example.org,5/11/1933,Male,New Jason,4/5/2024,4/5/2025,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6
36,Carrie Smith,Ryan Nunez,scottjohn@example.com,7/3/1991,Female,Clineshire,1/17/2024,1/16/2025,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10
37,Ryan Nunez,John Wood,silvamichael@example.org,10/26/1944,Female,Jacquelinefurt,2/16/2024,2/15/2025,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6
38,John Wood,Rachel Holmes,maxwellanthony@example.net,7/23/1975,Female,North Jerry,1/23/2024,1/22/2025,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7
39,Rachel Holmes,Terry Powell,maryjones@example.com,7/6/1955,Female,Port Benjaminfort,3/25/2024,3/25/2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8
40,Terry Powell,Mark Hernandez,reyesjennifer@example.com,3/19/1981,Female,Port Danielle,2/4/2024,2/3/2025,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Tablet,Low,4.2,5
41,Mark Hernandez,Angela Hall,william81@example.com,3/7/1975,Male,Port Jillianbury,3/18/2024,3/18/2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8
42,Angela Hall,Laura Griffith,laura84@example.org,6/14/1962,Female,Sherrybury,3/21/2024,3/21/2025,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2
43,Laura Griffith,Anita Calhoun Md,michelle48@example.net,1/9/2001,Female,Port Charleschester,3/19/2024,3/19/2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Medium,3.6,9
44,Anita Calhoun MD,Shannon Clark,ashley86@example.com,8/27/1945,Male,New Brandy,3/14/2024,3/14/2025,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6
45,Shannon Clark,Geoffrey Garcia,traci17@example.net,8/20/1943,Male,East Aaronburgh,3/14/2024,3/14/2025,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5,6
46,Geoffrey Garcia,Jeffery Maxwell,benjamin76@example.org,10/31/1993,Male,Jamesview,2/3/2024,2/2/2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,5
47,Jeffery Maxwell,Robert Lloyd,debra51@example.org,4/13/1953,Female,Davisfort,2/21/2024,2/20/2025,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7
48,Robert Lloyd,Melissa Wells,bradleypatrick@example.org,3/15/1985,Male,West Tanya,3/9/2024,3/9/2025,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2
49,Melissa Wells,Antonio Jackson,luis09@example.net,7/27/1950,Female,South Kylestad,3/9/2024,3/9/2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8
50,Antonio Jackson,John Smith,jrandall@example.org,7/23/1965,Female,East Marcusberg,3/24/2024,3/24/2025,Annual,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9
51,John Smith,Jeremy Lyons,dhuffman@example.net,12/21/1990,Male,New Nicoleport,1/28/2024,1/27/2025,Monthly,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8
52,Jeremy Lyons,Robert Browning,richardsmicheal@example.com,11/5/1976,Male,North Stephen,2/2/2024,2/1/2025,Annual,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0
56,Robert Browning,Amanda Williams Dvm,lorettashelton@example.net,11/9/1973,Female,East Charles,2/3/2024,2/2/2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,High,3.6,6
57,Amanda Williams DVM,William Clark,reginald05@example.org,3/27/1953,Female,Bowmanland,1/2/2024,1/1/2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3,2
58,William Clark,Julie Dean,michael86@example.com,5/19/1961,Male,New Thomasville,4/1/2024,4/1/2025,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10
59,Julie Dean,Neil Allen,hduffy@example.org,3/9/2003,Female,Port Olivia,4/7/2024,4/7/2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10
60,Neil Allen,Nicole Hunter,hamiltonkeith@example.org,9/5/1968,Female,Port Lauramouth,4/11/2024,4/11/2025,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,Low,3.7,9
61,Nicole Hunter,Susan Hurst,wendy13@example.com,9/24/1953,Female,Smithborough,2/15/2024,2/14/2025,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4
62,Susan Hurst,Megan Bates,jessicaespinoza@example.com,10/15/1991,Female,Phillipsfurt,3/6/2024,3/6/2025,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10
63,Megan Bates,Kristen Rowe,douglas02@example.net,8/17/1981,Female,Harrisshire,1/9/2024,1/8/2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3
64,Kristen Rowe,Jessica Flores,bcollins@example.org,6/10/1974,Male,South Williammouth,3/9/2024,3/9/2025,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4
65,Jessica Flores,Elizabeth Taylor,aguilarjohn@example.net,6/30/1948,Female,New Jonathan,1/17/2024,1/16/2025,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6
66,Elizabeth Taylor,Ronald Brooks Md,desiree88@example.com,7/13/1973,Female,Jennaburgh,3/29/2024,3/29/2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10
67,Ronald Brooks MD,Sonya Obrien,arodriguez@example.net,4/7/2004,Female,Jonathanburgh,2/1/2024,1/31/2025,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,High,3,9
68,Sonya Obrien,Tracy Koch,larry78@example.org,2/17/1946,Female,Jessicaborough,3/19/2024,3/19/2025,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0
69,Tracy Koch,Kendra Brooks Dvm,timothy25@example.net,8/3/1947,Female,Kristenton,4/9/2024,4/9/2025,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9
70,Kendra Brooks DVM,Janice Oliver,obray@example.net,1/29/1937,Male,Garzafort,1/21/2024,1/20/2025,Monthly,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2
71,Janice Oliver,Jennifer Shields,bethany83@example.net,12/2/1988,Male,South Leslie,2/27/2024,2/26/2025,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5
72,Jennifer Shields,Diana Dillon,aanderson@example.org,10/7/2004,Male,Williamport,3/3/2024,3/3/2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,High,3.1,7
73,Diana Dillon,David Mata,diane28@example.com,4/21/1981,Male,South Beverlyton,1/30/2024,1/29/2025,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4
74,David Mata,Megan Vaughan,cheyennewilson@example.net,8/12/1967,Male,Lake Rebecca,4/8/2024,4/8/2025,Annual,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9
